n-gangsti|gangsti|footpath|noun|m|gangstier||travel,city,nature|neutral
n-gardin|gardin|curtain|noun|n|gardiner||home|neutral
n-frist|frist|deadline|noun|m|frister||time,work|neutral
n-nyse|nyse|to sneeze|verb|||nyser, nyste, nyst|body,health|neutral
n-trenge-2|behøve|to need|verb|||behøver, behøvde, behøvd|function|formal
n-pirkete|pirkete|fussy|adj||||feelings|colloquial
n-snar|kjapp|quick|adj||||function|colloquial
n-sulten-2|matlysten|hungry|adj||||food|neutral
n-real|real|decent|adj||||people,feelings|colloquial
n-vente-2|avvente|to await|verb|||avventer, avventet, avventet|function|formal
n-spennende-2|gøy|fun|adj||||feelings|colloquial
n-stol|stol|chair|noun|m|stoler||home|neutral
n-dyne-2|pledd|blanket|noun|n|pledd||home|neutral
n-handkle-2|serviett|napkin|noun|m|servietter||home,food|neutral
n-bestikk|bestikk|cutlery|noun|n|bestikk||home,food|neutral
n-panne-2|stekepanne|frying pan|noun|f|stekepanner||home,food|neutral
n-kjele-2|kasserolle|saucepan|noun|f|kasseroller||home,food|neutral
n-vaskemaskin|vaskemaskin|washing machine|noun|m|vaskemaskiner||home|neutral
n-stoevsuger|støvsuger|vacuum cleaner|noun|m|støvsugere||home|neutral
n-kost-2|feiekost|broom|noun|m|feiekoster||home|neutral
n-boette-2|søppelbøtte|trash can|noun|f|søppelbøtter||home|neutral
n-soeppel|søppel|garbage|noun|n|||home|neutral
n-skuff-2|skuffeseksjon|drawer|noun|m|skuffeseksjoner||home|neutral
n-handduk|håndduk|hand cloth|noun|m|håndduker||home|neutral
n-saks|saks|scissors|noun|f|sakser||home,work|neutral
n-lim|lim|glue|noun|n|||home,work|neutral
n-traad-2|sytråd|sewing thread|noun|m|sytråder||home,clothing|neutral
n-naal|nål|needle|noun|f|nåler||home,clothing|neutral
n-knapp-2|trykknapp|button|noun|m|trykknapper||clothing|neutral
n-handske|skinnhanske|leather glove|noun|m|skinnhansker||clothing|neutral
n-vott-2|ullvott|wool mitten|noun|m|ullvotter||clothing|neutral
n-sokk-2|ullsokk|wool sock|noun|m|ullsokker||clothing|neutral
n-stoevel-2|gummistøvel|rubber boot|noun|m|gummistøvler||clothing|neutral
n-sandal|sandal|sandal|noun|m|sandaler||clothing|neutral
n-tøffel|tøffel|slipper|noun|m|tøfler||clothing,home|neutral
n-shorts|shorts|shorts|noun|m|shorts||clothing|colloquial
n-vest|vest|vest|noun|m|vester||clothing|neutral
n-blusen|bluse|blouse|noun|f|bluser||clothing|neutral
n-singlet|singlet|undershirt|noun|m|singleter||clothing|colloquial
n-truse|truse|underpants|noun|f|truser||clothing|neutral
n-bh|bh|bra|noun|m|bh-er||clothing|colloquial
n-knapphull|knapphull|buttonhole|noun|n|knapphull||clothing|neutral
n-lommebok|lommebok|wallet|noun|f|lommebøker||money,shopping|neutral
n-mynt|mynt|coin|noun|m|mynter||money|neutral
n-seddel|seddel|banknote|noun|m|sedler||money|neutral
n-bankkort|bankkort|bank card|noun|n|bankkort||money,shopping|neutral
n-pris-2|kostnad|cost|noun|m|kostnader||money|neutral
n-melk-2|kakao|cocoa|noun|m|||food|neutral
n-juice-2|appelsinjuice|orange juice|noun|m|||food|colloquial
n-vatn|drikkevann|drinking water|noun|n|||food|neutral
n-smoer-2|margarin|margarine|noun|n|||food|neutral
n-yoghurt|yoghurt|yogurt|noun|m|yoghurter||food|neutral
n-kesam|kesam|quark|noun|m|||food|neutral
n-fløte|fløte|cream|noun|m|||food|neutral
n-mel-2|hvetemel|wheat flour|noun|n|||food|neutral
n-gjær|gjær|yeast|noun|m|||food|neutral
n-deig|deig|dough|noun|m|deiger||food|neutral
n-bolle|bolle|bun|noun|m|boller||food|neutral
n-kavring|kavring|rusk|noun|m|kavringer||food|neutral
n-knekkebroed|knekkebrød|crispbread|noun|n|knekkebrød||food|neutral
n-skive|brødskive|slice of bread|noun|f|brødskiver||food|neutral
n-paalegg|pålegg|sandwich topping|noun|n|pålegg||food|neutral
n-brunost|brunost|brown cheese|noun|m|brunoster||food|neutral
n-leverpostei|leverpostei|liver pâté|noun|m|leverposteier||food|neutral
n-makrell|makrell|mackerel|noun|m|makreller||food,animals|neutral
n-torsk|torsk|cod|noun|m|torsker||food,animals|neutral
n-reker-2|kokte-reker|cooked shrimp|noun|f|reker||food|neutral
n-biff|biff|steak|noun|m|biffer||food|neutral
n-kjoettdeig|kjøttdeig|minced meat|noun|m|||food|neutral
n-kjøttkake|kjøttkake|meatball|noun|f|kjøttkaker||food|neutral
n-bacon|bacon|bacon|noun|n|||food|colloquial
n-egg-2|kokt-egg|boiled egg|noun|n|egg||food|neutral
n-omelett|omelett|omelette|noun|m|omeletter||food|neutral
n-vaffel|vaffel|waffle|noun|m|vafler||food|neutral
n-pannekake|pannekake|pancake|noun|f|pannekaker||food|neutral
n-grøt|grøt|porridge|noun|m|||food|neutral
n-havregryn|havregryn|oats|noun|n|havregryn||food|neutral
n-mysli|mysli|muesli|noun|m|||food|colloquial
n-sukker-2|melis|powdered sugar|noun|n|||food|neutral
n-kanel|kanel|cinnamon|noun|m|||food|neutral
n-krydder|krydder|spice|noun|n|krydder||food|neutral
n-eddik|eddik|vinegar|noun|m|||food|neutral
n-sennep|sennep|mustard|noun|m|||food|neutral
n-ketchup|ketchup|ketchup|noun|m|||food|colloquial
n-majones|majones|mayonnaise|noun|m|||food|neutral
n-dressing|dressing|dressing|noun|m|dressinger||food|colloquial
n-saus|saus|sauce|noun|m|sauser||food|neutral
n-buljong|buljong|broth|noun|m|buljonger||food|neutral
n-erter|ert|pea|noun|f|erter||food|neutral
n-bønner|bønne|bean|noun|f|bønner||food|neutral
n-mais|mais|corn|noun|m|||food|neutral
n-brokkoli|brokkoli|broccoli|noun|m|||food|neutral
n-blomkaal|blomkål|cauliflower|noun|m|||food|neutral
n-kaal|kål|cabbage|noun|m|||food|neutral
n-spinat|spinat|spinach|noun|m|||food|neutral
n-sopp-2|sjampinjong|button mushroom|noun|m|sjampinjonger||food|neutral
n-paprika|paprika|bell pepper|noun|m|paprikaer||food|neutral
n-purre|purre|leek|noun|m|||food|neutral
n-selleri|selleri|celery|noun|m|||food|neutral
n-sitron|sitron|lemon|noun|m|sitroner||food|neutral
n-fersken|fersken|peach|noun|m|ferskener||food|neutral
n-plomme|plomme|plum|noun|f|plommer||food|neutral
n-aprikos|aprikos|apricot|noun|m|aprikoser||food|neutral
n-kirsebær|kirsebær|cherry|noun|n|kirsebær||food|neutral
n-bringebær|bringebær|raspberry|noun|n|bringebær||food|neutral
n-blaabaer|blåbær|blueberry|noun|n|blåbær||food|neutral
n-melon|melon|melon|noun|m|meloner||food|neutral
n-ananas|ananas|pineapple|noun|m|ananaser||food|neutral
n-kokosnoett|kokosnøtt|coconut|noun|f|kokosnøtter||food|neutral
n-mandel|mandel|almond|noun|m|mandler||food|neutral
n-rosin|rosin|raisin|noun|m|rosiner||food|neutral
n-sjokoladebit|sjokoladebit|chocolate piece|noun|m|sjokoladebiter||food|colloquial
n-bolledeig|kjeks-2|biscuit|noun|m|kjeks||food|neutral
n-iskrem|iskrem|ice cream|noun|m|iskremer||food|colloquial
n-pudding|pudding|pudding|noun|m|puddinger||food|colloquial
n-snop|snop|sweets|noun|n|||food|colloquial
n-tyggegummi|tyggegummi|chewing gum|noun|m|||food|colloquial
n-chips|chips|chips|noun|m|chips||food|colloquial
n-popcorn|popcorn|popcorn|noun|n|||food|colloquial
n-brus-2|leskedrikk|soft drink|noun|m|leskedrikker||food|neutral
n-kaffekopp|kaffekopp|coffee cup|noun|m|kaffekopper||food,home|neutral
n-tepose|tepose|tea bag|noun|m|teposer||food|neutral
n-sugeroer|sugerør|straw|noun|n|sugerør||food|neutral
n-tannkrem|tannkrem|toothpaste|noun|m|||body,health|neutral
n-saape-2|håndsåpe|hand soap|noun|f|håndsåper||body,home|neutral
n-sjampo|sjampo|shampoo|noun|m|||body|neutral
n-kam|kam|comb|noun|m|kammer||body|neutral
n-borste|hårbørste|hairbrush|noun|m|hårbørster||body|neutral
n-barberhoevel|barberhøvel|razor|noun|m|barberhøvler||body|neutral
n-speil-2|veggspeil|wall mirror|noun|n|veggspeil||home|neutral
n-deodorant|deodorant|deodorant|noun|m|deodoranter||body|neutral
n-parfyme|parfyme|perfume|noun|m|parfymer||body|neutral
n-leppestift|leppestift|lipstick|noun|m|leppestifter||body|neutral
