n-bli|bli|to become / to stay|verb|||blir, ble, blitt|function|neutral
n-sette|sette|to set / to put|verb|||setter, satte, satt|function|neutral
n-legge|legge|to lay / to put|verb|||legger, la, lagt|function|neutral
n-holde|holde|to hold|verb|||holder, holdt, holdt|function|neutral
n-staa|stå|to stand|verb|||står, sto, stått|function|neutral
n-sitte|sitte|to sit|verb|||sitter, satt, sittet|function|neutral
n-ligge|ligge|to lie / to be located|verb|||ligger, lå, ligget|function|neutral
n-begynne|begynne|to begin|verb|||begynner, begynte, begynt|function|neutral
n-slutte|slutte|to stop / to finish|verb|||slutter, sluttet, sluttet|function|neutral
n-aapne|åpne|to open|verb|||åpner, åpnet, åpnet|function|neutral
n-lukke|lukke|to close|verb|||lukker, lukket, lukket|function|neutral
n-klare|klare|to manage / to cope|verb|||klarer, klarte, klart|function|neutral
n-vise|vise|to show|verb|||viser, viste, vist|function|neutral
n-miste|miste|to lose|verb|||mister, mistet, mistet|function|neutral
n-bringe|bringe|to bring|verb|||bringer, brakte, brakt|function|neutral
n-dra|dra|to go / to pull|verb|||drar, dro, dratt|function|neutral
n-vente|vente|to wait|verb|||venter, ventet, ventet|function|neutral
n-falle|falle|to fall|verb|||faller, falt, falt|function|neutral
n-bruke|bruke|to use|verb|||bruker, brukte, brukt|function|neutral
n-bygge|bygge|to build|verb|||bygger, bygde, bygd|function|neutral
n-synes|synes|to think / to seem|verb|||synes, syntes, synes|communication|neutral
n-tore|tore|to dare|verb|||tør, torde, tort|feelings|neutral
n-flytte|flytte|to move (relocate)|verb|||flytter, flyttet, flyttet|home|neutral
n-stoppe|stoppe|to stop|verb|||stopper, stoppet, stoppet|function|neutral
n-fortsette|fortsette|to continue|verb|||fortsetter, fortsatte, fortsatt|function|neutral
n-fullfoere|fullføre|to complete|verb|||fullfører, fullførte, fullført|function|neutral
n-avslutte|avslutte|to end|verb|||avslutter, avsluttet, avsluttet|function|neutral
n-starte|starte|to start|verb|||starter, startet, startet|function|neutral
n-gjenta|gjenta|to repeat|verb|||gjentar, gjentok, gjentatt|function|neutral
n-fange|fange|to catch|verb|||fanger, fanget, fanget|function|neutral
n-gripe|gripe|to grab|verb|||griper, grep, grepet|function|neutral
n-slippe|slippe|to release / to drop|verb|||slipper, slapp, sluppet|function|neutral
n-dytte|dytte|to push|verb|||dytter, dyttet, dyttet|function|colloquial
n-skyve|skyve|to push / to shove|verb|||skyver, skjøv, skjøvet|function|neutral
