n-rom|rom|room|noun|n|rom||home|neutral
n-kjoekken|kjøkken|kitchen|noun|n|kjøkken||home|neutral
n-stue|stue|living room|noun|f|stuer||home|neutral
n-soverom|soverom|bedroom|noun|n|soverom||home|neutral
n-bad|bad|bathroom|noun|n|bad||home|neutral
n-vindu|vindu|window|noun|n|vinduer||home|neutral
n-vegg|vegg|wall|noun|m|vegger||home|neutral
n-gulv|gulv|floor|noun|n|gulv||home|neutral
n-tak|tak|roof|noun|n|tak||home|neutral
n-trapp|trapp|stairs|noun|f|trapper||home|neutral
n-seng|seng|bed|noun|f|senger||home|neutral
n-sofa|sofa|sofa|noun|m|sofaer||home|neutral
n-skap|skap|cupboard|noun|n|skap||home|neutral
n-hylle|hylle|shelf|noun|f|hyller||home|neutral
n-lampe|lampe|lamp|noun|f|lamper||home|neutral
n-speil|speil|mirror|noun|n|speil||home|neutral
n-teppe|teppe|carpet|noun|n|tepper||home|neutral
n-pute|pute|pillow|noun|f|puter||home|neutral
n-dyne|dyne|duvet|noun|f|dyner||home|neutral
n-noekkel|nøkkel|key|noun|m|nøkler||home|neutral
n-laas|lås|lock|noun|m|låser||home|neutral
n-port|port|gate|noun|m|porter||home|neutral
n-hage|hage|garden|noun|m|hager||home|neutral
n-gjerde|gjerde|fence|noun|n|gjerder||home|neutral
n-vaer|vær|weather|noun|n|||weather|neutral
n-leilighet|leilighet|apartment|noun|f|leiligheter||home|neutral
n-bygning|bygning|building|noun|m|bygninger||city|neutral
n-hjoerne|hjørne|corner|noun|n|hjørner||home|neutral
n-loft|loft|attic|noun|n|loft||home|neutral
n-kjeller|kjeller|basement|noun|m|kjellere||home|neutral
n-balkong|balkong|balcony|noun|m|balkonger||home|neutral
n-mobel|møbel|furniture|noun|n|møbler||home|neutral
n-skuff|skuff|drawer|noun|m|skuffer||home|neutral
n-komfyr|komfyr|stove|noun|m|komfyrer||home|neutral
n-ovn|ovn|oven|noun|m|ovner||home|neutral
n-kjoeleskap|kjøleskap|fridge|noun|n|kjøleskap||home|neutral
n-fryser|fryser|freezer|noun|m|frysere||home|neutral
n-vask|vask|sink|noun|m|vasker||home|neutral
n-kran|kran|tap|noun|f|kraner||home|neutral
n-gryte|gryte|pot|noun|f|gryter||home|neutral
n-panne|panne|pan|noun|f|panner||home|neutral
n-kjele|kjele|kettle|noun|m|kjeler||home|neutral
n-tallerken|tallerken|plate|noun|m|tallerkener||home|neutral
n-kopp|kopp|cup|noun|m|kopper||home|neutral
n-glass|glass|glass|noun|n|glass||home|neutral
n-skaal|skål|bowl|noun|f|skåler||home|neutral
n-kniv|kniv|knife|noun|m|kniver||home|neutral
n-gaffel|gaffel|fork|noun|m|gafler||home|neutral
n-skje|skje|spoon|noun|f|skjeer||home|neutral
n-flaske|flaske|bottle|noun|f|flasker||home|neutral
n-boks|boks|can|noun|m|bokser||home|neutral
n-pose|pose|bag|noun|m|poser||shopping|neutral
n-spann|spann|bucket|noun|n|spann||home|neutral
n-boette|bøtte|bucket|noun|f|bøtter||home|neutral
n-kost|kost|broom|noun|m|koster||home|neutral
n-klut|klut|cloth|noun|m|kluter||home|neutral
n-saape|såpe|soap|noun|f|||home|neutral
n-handkle|håndkle|towel|noun|n|håndklær||home|neutral
n-tannboerste|tannbørste|toothbrush|noun|m|tannbørster||home|neutral
n-dolist|do|toilet|noun|n|||home|colloquial
n-toalett|toalett|toilet|noun|n|toaletter||home|neutral
n-dusj|dusj|shower|noun|m|dusjer||home|neutral
n-baderom|baderom|bathroom|noun|n|baderom||home|neutral
n-lys|lys|light|noun|n|lys||home|neutral
n-stearinlys|stearinlys|candle|noun|n|stearinlys||home|neutral
n-fyrstikk|fyrstikk|match|noun|f|fyrstikker||home|neutral
n-bilde|bilde|picture|noun|n|bilder||home|neutral
n-klokke|klokke|clock|noun|f|klokker||time|neutral
n-radio|radio|radio|noun|m|radioer||technology|neutral
n-mat|mat|food|noun|m|||food|neutral
n-broed|brød|bread|noun|n|brød||food|neutral
n-smoer|smør|butter|noun|n|||food|neutral
n-ost|ost|cheese|noun|m|oster||food|neutral
n-egg|egg|egg|noun|n|egg||food|neutral
n-melk|melk|milk|noun|f|||food|neutral
n-kjoett|kjøtt|meat|noun|n|||food|neutral
n-fisk|fisk|fish|noun|m|fisker||food|neutral
n-kylling|kylling|chicken|noun|m|kyllinger||food|neutral
n-poelse|pølse|sausage|noun|f|pølser||food|neutral
n-skinke|skinke|ham|noun|f|skinker||food|neutral
n-suppe|suppe|soup|noun|f|supper||food|neutral
n-salat|salat|salad|noun|m|salater||food|neutral
n-ris|ris|rice|noun|m|||food|neutral
n-pasta|pasta|pasta|noun|m|||food|neutral
n-potet|potet|potato|noun|m|poteter||food|neutral
n-loek|løk|onion|noun|m|løker||food|neutral
n-gulrot|gulrot|carrot|noun|f|gulrøtter||food|neutral
n-tomat|tomat|tomato|noun|m|tomater||food|neutral
n-agurk|agurk|cucumber|noun|m|agurker||food|neutral
n-eple|eple|apple|noun|n|epler||food|neutral
n-banan|banan|banana|noun|m|bananer||food|neutral
n-appelsin|appelsin|orange|noun|m|appelsiner||food|neutral
n-paere|pære|pear|noun|f|pærer||food|neutral
n-drue|drue|grape|noun|f|druer||food|neutral
n-jordbaer|jordbær|strawberry|noun|n|jordbær||food|neutral
n-baer|bær|berry|noun|n|bær||food|neutral
n-frukt|frukt|fruit|noun|f|frukter||food|neutral
n-groennsak|grønnsak|vegetable|noun|f|grønnsaker||food|neutral
n-sukker|sukker|sugar|noun|n|||food|neutral
n-salt|salt|salt|noun|n|||food|neutral
n-pepper|pepper|pepper|noun|m|||food|neutral
n-mel|mel|flour|noun|n|||food|neutral
n-olje|olje|oil|noun|f|oljer||food|neutral
n-honning|honning|honey|noun|m|||food|neutral
n-syltetoey|syltetøy|jam|noun|n|||food|neutral
n-sjokolade|sjokolade|chocolate|noun|m|sjokolader||food|neutral
n-kake|kake|cake|noun|f|kaker||food|neutral
n-kjeks|kjeks|biscuit|noun|m|kjeks||food|neutral
n-is|is|ice cream|noun|m|iser||food|neutral
n-godteri|godteri|candy|noun|n|||food|neutral
